Product_ID,Product_Name,Brand,Generic_Name,Category_ID,Dosage,Form,Pack_Size,MRP,Purchase_Price,Selling_Price,Shelf_Life_Months,Prescription_Required
218,Amoxicillin 10mg Injection,Dr. Reddy's,Amoxicillin,4,10mg,Injection,Strip of 15,61.27,31.5,61.27,59,No
219,Losartan 20mg Cream,Zydus,Losartan,2,20mg,Cream,Bottle of 100ml,976.1,597.72,976.1,36,Yes
220,Atorvastatin 250mg Capsule,Mankind,Atorvastatin,6,250mg,Capsule,Vial,311.42,234.93,311.42,37,Yes
221,Pantoprazole 650mg Capsule,Sun Pharma,Pantoprazole,2,650mg,Capsule,Bottle of 100ml,843.32,423.39,843.32,26,No
222,Losartan 500mg Capsule,Lupin,Losartan,9,500mg,Capsule,Vial,289.13,171.58,289.13,46,No
223,Amlodipine 5ml Cream,Mankind,Amlodipine,4,5ml,Cream,Tube 30g,235.8,179.03,235.8,16,No
224,Metformin 500mg Capsule,Torrent,Metformin,8,500mg,Capsule,Strip of 15,931.56,471.7,931.56,23,Yes
225,Pantoprazole 500mg Cream,Cipla,Pantoprazole,2,500mg,Cream,Tube 30g,820.01,623.37,820.01,53,Yes
226,Omeprazole 10mg Capsule,Zydus,Omeprazole,1,10mg,Capsule,Bottle of 100ml,835.86,627.46,835.86,32,No
227,Losartan 650mg Tablet,Sun Pharma,Losartan,8,650mg,Tablet,Strip of 10,609.95,368.93,609.95,44,No
228,Omeprazole 650mg Cream,Lupin,Omeprazole,8,650mg,Cream,Strip of 15,1070.67,719.35,1070.67,38,Yes
229,Atorvastatin 250mg Syrup,Cipla,Atorvastatin,4,250mg,Syrup,Strip of 15,1187.91,917.71,1187.91,28,No
230,Atorvastatin 250mg Injection,Pfizer,Atorvastatin,1,250mg,Injection,Strip of 10,367.53,253.64,367.53,39,No
231,Omeprazole 650mg Syrup,Torrent,Omeprazole,8,650mg,Syrup,Vial,926.41,663.03,926.41,30,No
232,Azithromycin 650mg Capsule,Zydus,Azithromycin,10,650mg,Capsule,Bottle of 100ml,131.63,79.91,131.63,37,No
233,Azithromycin 250mg Capsule,Pfizer,Azithromycin,2,250mg,Capsule,Strip of 10,881.91,506.47,881.91,45,No
234,Omeprazole 10mg Syrup,Pfizer,Omeprazole,8,10mg,Syrup,Tube 30g,958.21,640.97,958.21,12,No
235,Losartan 500mg Injection,GSK,Losartan,6,500mg,Injection,Strip of 15,720.19,440.71,720.19,40,Yes
236,Losartan 5ml Tablet,Lupin,Losartan,3,5ml,Tablet,Bottle of 100ml,914.44,555.18,914.44,40,Yes
237,Pantoprazole 500mg Syrup,Mankind,Pantoprazole,10,500mg,Syrup,Bottle of 100ml,691.14,444.74,691.14,51,Yes
238,Amlodipine 500mg Cream,Dr. Reddy's,Amlodipine,2,500mg,Cream,Strip of 15,1185.34,945.99,1185.34,28,Yes
239,Azithromycin 500mg Capsule,Zydus,Azithromycin,9,500mg,Capsule,Strip of 15,970.43,701.1,970.43,26,No
240,Amlodipine 10mg Cream,Pfizer,Amlodipine,9,10mg,Cream,Strip of 15,387.09,253.92,387.09,49,Yes
241,Atorvastatin 650mg Tablet,Dr. Reddy's,Atorvastatin,9,650mg,Tablet,Bottle of 100ml,160.49,98.54,160.49,51,No
242,Amlodipine 650mg Injection,GSK,Amlodipine,2,650mg,Injection,Strip of 10,1005.66,519.13,1005.66,46,No
243,Azithromycin 500mg Injection,Pfizer,Azithromycin,10,500mg,Injection,Strip of 10,580.54,381.18,580.54,49,Yes
244,Omeprazole 5ml Injection,Pfizer,Omeprazole,3,5ml,Injection,Vial,363.06,219.52,363.06,29,Yes
245,Paracetamol 20mg Tablet,GSK,Paracetamol,4,20mg,Tablet,Tube 30g,96.61,75.2,96.61,32,No
246,Pantoprazole 250mg Injection,Cipla,Pantoprazole,7,250mg,Injection,Tube 30g,901.65,526.08,901.65,33,Yes
247,Azithromycin 5ml Cream,Abbott,Azithromycin,8,5ml,Cream,Vial,1062.46,726.8,1062.46,21,No
248,Azithromycin 10mg Capsule,Zydus,Azithromycin,4,10mg,Capsule,Tube 30g,248.33,182.8,248.33,53,Yes
249,Amoxicillin 250mg Injection,Cipla,Amoxicillin,9,250mg,Injection,Strip of 15,555.25,442.43,555.25,29,No
250,Paracetamol 20mg Injection,Abbott,Paracetamol,5,20mg,Injection,Vial,545.54,394.01,545.54,36,No
251,Atorvastatin 5ml Tablet,Dr. Reddy's,Atorvastatin,2,5ml,Tablet,Vial,232.07,126.71,232.07,19,No
252,Pantoprazole 20mg Cream,Pfizer,Pantoprazole,9,20mg,Cream,Vial,422.42,284.89,422.42,41,No
253,Amlodipine 500mg Cream,Abbott,Amlodipine,10,500mg,Cream,Bottle of 100ml,215.98,142.76,215.98,15,No
254,Omeprazole 5ml Syrup,Sun Pharma,Omeprazole,6,5ml,Syrup,Vial,1132.31,683.11,1132.31,50,No
255,Metformin 650mg Capsule,Lupin,Metformin,3,650mg,Capsule,Strip of 10,488.98,346.97,488.98,36,No
256,Omeprazole 500mg Capsule,Mankind,Omeprazole,7,500mg,Capsule,Bottle of 100ml,97.74,66.8,97.74,57,No
257,Amoxicillin 650mg Tablet,Abbott,Amoxicillin,3,650mg,Tablet,Strip of 10,130.03,80.92,130.03,46,Yes
258,Pantoprazole 5ml Injection,Dr. Reddy's,Pantoprazole,9,5ml,Injection,Strip of 15,404.14,307.71,404.14,25,Yes
259,Azithromycin 500mg Cream,Dr. Reddy's,Azithromycin,8,500mg,Cream,Vial,1157.7,629.8,1157.7,45,Yes
260,Cetirizine 10mg Syrup,Dr. Reddy's,Cetirizine,6,10mg,Syrup,Vial,956.62,679.85,956.62,20,Yes
261,Pantoprazole 500mg Capsule,Dr. Reddy's,Pantoprazole,1,500mg,Capsule,Strip of 10,837.78,567.79,837.78,20,No
262,Omeprazole 650mg Capsule,Dr. Reddy's,Omeprazole,6,650mg,Capsule,Strip of 10,856.41,500.16,856.41,36,No
263,Paracetamol 500mg Injection,GSK,Paracetamol,1,500mg,Injection,Strip of 15,868.52,487.97,868.52,14,No
264,Losartan 250mg Tablet,Torrent,Losartan,2,250mg,Tablet,Tube 30g,979.83,716.69,979.83,33,Yes
265,Amlodipine 20mg Cream,Mankind,Amlodipine,3,20mg,Cream,Tube 30g,789.32,552.62,789.32,35,No
266,Cetirizine 650mg Injection,Abbott,Cetirizine,4,650mg,Injection,Strip of 10,1159.63,900.87,1159.63,21,Yes
267,Metformin 20mg Capsule,Sun Pharma,Metformin,8,20mg,Capsule,Vial,484.41,356.21,484.41,18,Yes
268,Azithromycin 250mg Tablet,GSK,Azithromycin,7,250mg,Tablet,Bottle of 100ml,527.62,388.18,527.62,27,No
269,Cetirizine 20mg Cream,Zydus,Cetirizine,9,20mg,Cream,Strip of 15,75.82,48.25,75.82,49,Yes
270,Pantoprazole 20mg Capsule,Cipla,Pantoprazole,3,20mg,Capsule,Strip of 10,774.66,488.83,774.66,35,Yes
271,Azithromycin 5ml Tablet,Lupin,Azithromycin,10,5ml,Tablet,Tube 30g,772.7,498.33,772.7,17,No
272,Losartan 250mg Cream,Mankind,Losartan,7,250mg,Cream,Vial,171.88,129.67,171.88,46,No
273,Metformin 5ml Injection,GSK,Metformin,2,5ml,Injection,Strip of 10,1002.39,596.59,1002.39,25,No
274,Amoxicillin 250mg Syrup,Cipla,Amoxicillin,10,250mg,Syrup,Strip of 10,1061.97,593.39,1061.97,12,No
275,Metformin 5ml Syrup,Cipla,Metformin,9,5ml,Syrup,Strip of 15,741.4,498.25,741.4,37,Yes
276,Omeprazole 10mg Syrup,Sun Pharma,Omeprazole,6,10mg,Syrup,Tube 30g,584.43,330.59,584.43,40,Yes
277,Atorvastatin 20mg Capsule,GSK,Atorvastatin,10,20mg,Capsule,Vial,853.25,543.23,853.25,23,No
278,Losartan 20mg Injection,Abbott,Losartan,4,20mg,Injection,Strip of 15,680.75,421.75,680.75,13,Yes
279,Azithromycin 650mg Tablet,Pfizer,Azithromycin,9,650mg,Tablet,Strip of 15,325.82,244.9,325.82,20,Yes
280,Losartan 250mg Injection,Dr. Reddy's,Losartan,6,250mg,Injection,Vial,545.99,392.51,545.99,35,Yes
281,Paracetamol 650mg Capsule,GSK,Paracetamol,8,650mg,Capsule,Strip of 15,754.56,391.94,754.56,12,No
282,Losartan 5ml Cream,Sun Pharma,Losartan,10,5ml,Cream,Vial,152.21,107.4,152.21,52,No
283,Amoxicillin 10mg Injection,Mankind,Amoxicillin,1,10mg,Injection,Bottle of 100ml,425.62,324.38,425.62,22,Yes
284,Omeprazole 250mg Tablet,Cipla,Omeprazole,4,250mg,Tablet,Bottle of 100ml,675.01,399.29,675.01,46,Yes
285,Metformin 10mg Tablet,Torrent,Metformin,10,10mg,Tablet,Tube 30g,436.4,308.54,436.4,29,Yes
286,Atorvastatin 250mg Capsule,Mankind,Atorvastatin,1,250mg,Capsule,Tube 30g,1030.19,596.95,1030.19,51,No
287,Amlodipine 250mg Injection,Abbott,Amlodipine,1,250mg,Injection,Tube 30g,238.61,174.27,238.61,38,No
288,Pantoprazole 500mg Capsule,GSK,Pantoprazole,1,500mg,Capsule,Strip of 15,951.24,541.1,951.24,16,No
289,Pantoprazole 650mg Capsule,Torrent,Pantoprazole,9,650mg,Capsule,Tube 30g,202.89,155.7,202.89,18,No
290,Omeprazole 650mg Injection,Sun Pharma,Omeprazole,5,650mg,Injection,Bottle of 100ml,329.76,243.33,329.76,20,No
291,Paracetamol 10mg Injection,Abbott,Paracetamol,8,10mg,Injection,Strip of 10,1040.7,561.49,1040.7,30,No
292,Metformin 250mg Syrup,GSK,Metformin,2,250mg,Syrup,Bottle of 100ml,313.62,203.07,313.62,43,No
293,Omeprazole 5ml Injection,Mankind,Omeprazole,1,5ml,Injection,Tube 30g,673.3,421.86,673.3,21,No
294,Azithromycin 5ml Syrup,Sun Pharma,Azithromycin,4,5ml,Syrup,Vial,747.18,516.72,747.18,29,No
295,Omeprazole 10mg Syrup,Abbott,Omeprazole,3,10mg,Syrup,Vial,999.27,531.59,999.27,57,No
296,Paracetamol 650mg Tablet,GSK,Paracetamol,5,650mg,Tablet,Bottle of 100ml,555.93,403.09,555.93,17,No
297,Cetirizine 10mg Injection,Sun Pharma,Cetirizine,9,10mg,Injection,Tube 30g,868.16,635.96,868.16,43,Yes
298,Losartan 250mg Injection,Sun Pharma,Losartan,1,250mg,Injection,Tube 30g,504.44,264.94,504.44,17,No
299,Omeprazole 250mg Syrup,Sun Pharma,Omeprazole,10,250mg,Syrup,Strip of 15,100.66,75.33,100.66,34,No
300,Amoxicillin 10mg Injection,GSK,Amoxicillin,3,10mg,Injection,Strip of 15,441.94,264.31,441.94,45,Yes
